GroupName,Iteration,TestCaseID,TransactionType,TestCaseDesription,StartDate,EndDate,Status,Description,Screenshot,Quote Number
"URBAN","","HO_Rating_TC4","Next","","2019/01/15 20:05:00","2019/01/15 20:05:12","PASS","","",""
"URBAN","","HO_Rating_TC4","UnderwritingQuestions","","2019/01/15 20:05:12","2019/01/15 20:05:26","PASS","","",""
"URBAN","","HO_Rating_TC4","CalculatePremium","","2019/01/15 20:05:26","2019/01/15 20:05:55","PASS","","",""
"URBAN","","HO_Rating_TC4","GetPolicyID","","2019/01/15 20:05:55","2019/01/15 20:06:11","PASS","","",""
"URBAN","","HO_Rating_TC4","PremiumSummaryVerification","","2019/01/15 20:06:33","2019/01/15 20:06:32","FAIL","TestCase: HO_Rating_TC4 Tranasction: PremiumSummaryVerification Error: Unknown...","file:\\D:\Workspace_PAS_V1\iTAFCommon\URBAN_HO\Resources\Results\\ScreenShots\HO_Rating_TC4_PremiumSummaryVerification_null.jpeg",""
"URBAN","","HO_Rating_TC4","Save","","2019/01/15 20:06:33","2019/01/15 20:06:55","PASS","","",""
"URBAN","","HO_Rating_TC4","Approve","","2019/01/15 20:06:55","2019/01/15 20:08:01","PASS","","",""
"URBAN","","HO_Rating_TC4","Issuance","","2019/01/15 20:08:01","2019/01/15 20:10:04","PASS","","",""
"URBAN","","HO_Rating_TC4","MakeDownPayment","","2019/01/15 20:10:04","2019/01/15 20:11:21","PASS","","",""
"CloseAndLaunchBrowser","","CloseAndLaunchBrowser","CloseAndLaunchBrowser","","2019/01/15 20:11:21","2019/01/15 20:11:31","PASS","","",""
"URBAN","","HO_Rating_TC5","Login","","2019/01/15 20:11:31","2019/01/15 20:11:35","PASS","","",""
"URBAN","","HO_Rating_TC5","CreateQuotePolicy","","2019/01/15 20:11:35","2019/01/15 20:11:59","PASS","","",""
"URBAN","","HO_Rating_TC5","ProductInformation","","2019/01/15 20:12:00","2019/01/15 20:14:18","PASS","","",""
"URBAN","","HO_Rating_TC5","PropertyDetails","","2019/01/15 20:14:18","2019/01/15 20:16:34","PASS","","",""
"URBAN","","HO_Rating_TC5","RenovationDetails","","2019/01/15 20:16:34","2019/01/15 20:17:26","PASS","","",""
"URBAN","","HO_Rating_TC5","Next","","2019/01/15 20:17:26","2019/01/15 20:17:38","PASS","","",""
"URBAN","","HO_Rating_TC5","CoverageDetails","","2019/01/15 20:17:38","2019/01/15 20:19:12","PASS","","",""
"URBAN","","HO_Rating_TC5","Next","","2019/01/15 20:19:12","2019/01/15 20:19:24","PASS","","",""
"URBAN","","HO_Rating_TC5","OptionalCoverageDetails","","2019/01/15 20:19:24","2019/01/15 20:20:01","PASS","","",""
"URBAN","","HO_Rating_TC5","OptionalCoverageDetails_1","","2019/01/15 20:20:01","2019/01/15 20:20:58","PASS","","",""
"URBAN","","HO_Rating_TC5","OptionalCoverageDetails_2","","2019/01/15 20:20:58","2019/01/15 20:21:58","PASS","","",""
"URBAN","","HO_Rating_TC5","OptionalCoverageDetails_3","","2019/01/15 20:21:58","2019/01/15 20:23:04","PASS","","",""
"URBAN","","HO_Rating_TC5","OptionalCoverageDetails_4","","2019/01/15 20:23:04","2019/01/15 20:24:29","PASS","","",""
"URBAN","","HO_Rating_TC5","OptionalCoverageDetails_5","","2019/01/15 20:24:29","2019/01/15 20:25:22","PASS","","",""
"URBAN","","HO_Rating_TC5","OptionalCoverageDetails_6","","2019/01/15 20:25:22","2019/01/15 20:26:37","PASS","","",""
"URBAN","","HO_Rating_TC5","OptionalCoverageDetails_7","","2019/01/15 20:26:37","2019/01/15 20:27:35","PASS","","",""
"URBAN","","HO_Rating_TC5","OptionalCoverageDetails_7","","2019/01/15 20:27:35","2019/01/15 20:28:05","PASS","","",""
"URBAN","","HO_Rating_TC5","OptionalCoverageDetails_8","","2019/01/15 20:28:05","2019/01/15 20:28:59","PASS","","",""
"URBAN","","HO_Rating_TC5","Next","","2019/01/15 20:28:59","2019/01/15 20:29:10","PASS","","",""
"URBAN","","HO_Rating_TC5","Next","","2019/01/15 20:29:10","2019/01/15 20:29:22","PASS","","",""
"URBAN","","HO_Rating_TC5","UnderwritingQuestions","","2019/01/15 20:29:22","2019/01/15 20:29:36","PASS","","",""
"URBAN","","HO_Rating_TC5","CalculatePremium","","2019/01/15 20:29:36","2019/01/15 20:30:05","PASS","","",""
"URBAN","","HO_Rating_TC5","GetPolicyID","","2019/01/15 20:30:05","2019/01/15 20:30:21","PASS","","",""
"URBAN","","HO_Rating_TC5","PremiumSummaryVerification","","2019/01/15 20:30:43","2019/01/15 20:30:42","FAIL","TestCase: HO_Rating_TC5 Tranasction: PremiumSummaryVerification Error: Unknown...","file:\\D:\Workspace_PAS_V1\iTAFCommon\URBAN_HO\Resources\Results\\ScreenShots\HO_Rating_TC5_PremiumSummaryVerification_null.jpeg",""
"URBAN","","HO_Rating_TC5","Save","","2019/01/15 20:30:43","2019/01/15 20:31:05","PASS","","",""
"URBAN","","HO_Rating_TC5","Approve","","2019/01/15 20:31:05","2019/01/15 20:40:21","FAIL","Expected condition failed: waiting for presence of element located by: By.xpath: //*[text()='Approve'] (tried for 300 second(s) with 500 MILLISECONDS interval)
Build info: version: '3.0.1', revision: '1969d75', time: '2016-10-18 09:49:13 -0700'
System info: host: 'IND-MHP3DW73971', ip: '172.17.151.92', os.name: 'Windows 7', os.arch: 'amd64', os.version: '6.1', java.version: '1.8.0_25'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities [{applicationCacheEnabled=false, rotatable=false, mobileEmulationEnabled=false, networkConnectionEnabled=false, chrome={chromedriverVersion=2.36.540470 (e522d04694c7ebea4ba8821272dbef4f9b818c91), userDataDir=C:\Users\MRINMA~1\AppData\Local\Temp\scoped_dir16132_18640}, takesHeapSnapshot=true, pageLoadStrategy=normal, databaseEnabled=false, handlesAlerts=true, hasTouchScreen=false, version=71.0.3578.98, platform=XP, browserConnectionEnabled=false, nativeEvents=true, acceptSslCerts=false, acceptInsecureCerts=false, locationContextEnabled=true, webStorageEnabled=true, browserName=chrome, takesScreenshot=true, javascriptEnabled=true, cssSelectorsEnabled=true, setWindowRect=true, unexpectedAlertBehaviour=}]
Session ID: 832880657a7adc11710b38b5702ca07e","file:\\D:\Workspace_PAS_V1\iTAFCommon\URBAN_HO\Resources\Results\\ScreenShots\HO_Rating_TC5_Approve_20190115203105.jpeg",""
"CloseAndLaunchBrowser","","CloseAndLaunchBrowser","CloseAndLaunchBrowser","","2019/01/15 20:40:21","2019/01/15 20:40:30","PASS","","",""
"URBAN","","HO_Rating_TC6","Login","","2019/01/15 20:40:30","2019/01/15 20:40:35","PASS","","",""
"URBAN","","HO_Rating_TC6","CreateQuotePolicy","","2019/01/15 20:40:35","2019/01/15 20:40:59","PASS","","",""
"URBAN","","HO_Rating_TC6","ProductInformation","","2019/01/15 20:40:59","2019/01/15 20:43:05","PASS","","",""
"URBAN","","HO_Rating_TC6","PropertyDetails","","2019/01/15 20:43:05","2019/01/15 20:45:22","PASS","","",""
"URBAN","","HO_Rating_TC6","RenovationDetails","","2019/01/15 20:45:22","2019/01/15 20:46:13","PASS","","",""
"URBAN","","HO_Rating_TC6","Next","","2019/01/15 20:46:13","2019/01/15 20:46:25","PASS","","",""
"URBAN","","HO_Rating_TC6","CoverageDetails","","2019/01/15 20:46:25","2019/01/15 20:47:57","PASS","","",""
"URBAN","","HO_Rating_TC6","Next","","2019/01/15 20:47:57","2019/01/15 20:48:09","PASS","","",""
"URBAN","","HO_Rating_TC6","OptionalCoverageDetails","","2019/01/15 20:48:09","2019/01/15 20:48:46","PASS","","",""
"URBAN","","HO_Rating_TC6","OptionalCoverageDetails_1","","2019/01/15 20:48:46","2019/01/15 20:49:43","PASS","","",""
"URBAN","","HO_Rating_TC6","OptionalCoverageDetails_2","","2019/01/15 20:49:43","2019/01/15 20:50:43","PASS","","",""
"URBAN","","HO_Rating_TC6","OptionalCoverageDetails_3","","2019/01/15 20:50:43","2019/01/15 20:51:49","PASS","","",""
"URBAN","","HO_Rating_TC6","OptionalCoverageDetails_4","","2019/01/15 20:51:49","2019/01/15 20:53:17","PASS","","",""
"URBAN","","HO_Rating_TC6","OptionalCoverageDetails_5","","2019/01/15 20:53:17","2019/01/15 20:54:42","PASS","","",""
"URBAN","","HO_Rating_TC6","OptionalCoverageDetails_6","","2019/01/15 20:54:42","2019/01/15 20:55:35","PASS","","",""
"URBAN","","HO_Rating_TC6","OptionalCoverageDetails_7","","2019/01/15 20:55:35","2019/01/15 20:56:50","PASS","","",""
"URBAN","","HO_Rating_TC6","OptionalCoverageDetails_8","","2019/01/15 20:56:50","2019/01/15 20:57:50","PASS","","",""
"URBAN","","HO_Rating_TC6","OptionalCoverageDetails_9","","2019/01/15 20:57:50","2019/01/15 20:58:43","PASS","","",""
"URBAN","","HO_Rating_TC6","Next","Create Dwelling Fire Full Quote","2019/01/15 20:58:43","2019/01/15 20:58:55","PASS","","",""
"URBAN","","HO_Rating_TC6","AdditionalInterests","Create Dwelling Fire Full Quote","2019/01/15 20:58:55","2019/01/15 20:59:28","PASS","","",""
"URBAN","","HO_Rating_TC6","Next","Create Dwelling Fire Full Quote","2019/01/15 20:59:28","2019/01/15 20:59:40","PASS","","",""
"URBAN","","HO_Rating_TC6","UnderwritingQuestions","Create Dwelling Fire Full Quote","2019/01/15 20:59:40","2019/01/15 20:59:54","PASS","","",""
"URBAN","","HO_Rating_TC6","CalculatePremium","Create Dwelling Fire Full Quote","2019/01/15 20:59:54","2019/01/15 21:00:23","PASS","","",""
"URBAN","","HO_Rating_TC6","GetPolicyID","Create Dwelling Fire Full Quote","2019/01/15 21:00:23","2019/01/15 21:00:39","PASS","","",""
"URBAN","","HO_Rating_TC6","PremiumSummaryVerification","Create Dwelling Fire Full Quote","2019/01/15 21:01:01","2019/01/15 21:01:00","FAIL","TestCase: HO_Rating_TC6 Tranasction: PremiumSummaryVerification Error: Unknown...","file:\\D:\Workspace_PAS_V1\iTAFCommon\URBAN_HO\Resources\Results\\ScreenShots\HO_Rating_TC6_PremiumSummaryVerification_null.jpeg",""
"URBAN","","HO_Rating_TC6","Save","Create Dwelling Fire Full Quote","2019/01/15 21:01:01","2019/01/15 21:01:23","PASS","","",""
"URBAN","","HO_Rating_TC6","Approve","Create Dwelling Fire Full Quote","2019/01/15 21:01:23","2019/01/15 21:02:29","PASS","","",""
"URBAN","","HO_Rating_TC6","Issuance","Create Dwelling Fire Full Quote","2019/01/15 21:02:29","2019/01/15 21:04:32","PASS","","",""
"URBAN","","HO_Rating_TC6","MakeDownPayment","Create Dwelling Fire Full Quote","2019/01/15 21:04:32","2019/01/15 21:05:49","PASS","","",""
"CloseAndLaunchBrowser","","CloseAndLaunchBrowser","CloseAndLaunchBrowser","CloseAndLaunchBrowser","2019/01/15 21:05:49","2019/01/15 21:05:59","PASS","","",""
"URBAN","","HO_Rating_TC7","Login","Create Dwelling Fire Full Quote","2019/01/15 21:05:59","2019/01/15 21:06:03","PASS","","",""
"URBAN","","HO_Rating_TC7","CreateQuotePolicy","Create Dwelling Fire Full Quote","2019/01/15 21:06:03","2019/01/15 21:06:27","PASS","","",""
"URBAN","","HO_Rating_TC7","ProductInformation","Create Dwelling Fire Full Quote","2019/01/15 21:06:27","2019/01/15 21:09:05","PASS","","",""
"URBAN","","HO_Rating_TC7","ProductInformation","Create Dwelling Fire Full Quote","2019/01/15 21:09:05","2019/01/15 21:10:19","PASS","","",""
"URBAN","","HO_Rating_TC7","PropertyDetails","Create Dwelling Fire Full Quote","2019/01/15 21:10:19","2019/01/15 21:12:38","PASS","","",""
"URBAN","","HO_Rating_TC7","RenovationDetails","Create Dwelling Fire Full Quote","2019/01/15 21:12:38","2019/01/15 21:13:28","PASS","","",""
"URBAN","","HO_Rating_TC7","Next","Create Dwelling Fire Full Quote","2019/01/15 21:13:28","2019/01/15 21:13:40","PASS","","",""
"URBAN","","HO_Rating_TC7","CoverageDetails","Create Dwelling Fire Full Quote","2019/01/15 21:13:40","2019/01/15 21:14:53","PASS","","",""
"URBAN","","HO_Rating_TC7","Next","Create Dwelling Fire Full Quote","2019/01/15 21:14:53","2019/01/15 21:15:05","PASS","","",""
"URBAN","","HO_Rating_TC7","OptionalCoverageDetails","Create Dwelling Fire Full Quote","2019/01/15 21:15:05","2019/01/15 21:15:42","PASS","","",""
"URBAN","","HO_Rating_TC7","OptionalCoverageDetails_1","Create Dwelling Fire Full Quote","2019/01/15 21:15:42","2019/01/15 21:17:15","PASS","","",""
"URBAN","","HO_Rating_TC7","Next","Create Dwelling Fire Full Quote","2019/01/15 21:17:15","2019/01/15 21:17:26","PASS","","",""
"URBAN","","HO_Rating_TC7","Next","Create Dwelling Fire Full Quote","2019/01/15 21:17:26","2019/01/15 21:17:38","PASS","","",""
"URBAN","","HO_Rating_TC7","UnderwritingQuestions","Create Dwelling Fire Full Quote","2019/01/15 21:17:38","2019/01/15 21:17:52","PASS","","",""
"URBAN","","HO_Rating_TC7","CalculatePremium","Create Dwelling Fire Full Quote","2019/01/15 21:17:52","2019/01/15 21:18:21","PASS","","",""
"URBAN","","HO_Rating_TC7","GetPolicyID","Create Dwelling Fire Full Quote","2019/01/15 21:18:21","2019/01/15 21:18:37","PASS","","",""
"URBAN","","HO_Rating_TC7","PremiumSummaryVerification","Create Dwelling Fire Full Quote","2019/01/15 21:18:59","2019/01/15 21:18:58","FAIL","TestCase: HO_Rating_TC7 Tranasction: PremiumSummaryVerification Error: Unknown...","file:\\D:\Workspace_PAS_V1\iTAFCommon\URBAN_HO\Resources\Results\\ScreenShots\HO_Rating_TC7_PremiumSummaryVerification_null.jpeg",""
"URBAN","","HO_Rating_TC7","Save","Create Dwelling Fire Full Quote","2019/01/15 21:18:59","2019/01/15 21:19:21","PASS","","",""
"URBAN","","HO_Rating_TC7","Approve","Create Dwelling Fire Full Quote","2019/01/15 21:19:21","2019/01/15 21:20:27","PASS","","",""
"URBAN","","HO_Rating_TC7","Issuance","Create Dwelling Fire Full Quote","2019/01/15 21:20:27","2019/01/15 21:22:29","PASS","","",""
"URBAN","","HO_Rating_TC7","MakeDownPayment","Create Dwelling Fire Full Quote","2019/01/15 21:22:29","2019/01/15 21:23:47","PASS","","",""
"CloseAndLaunchBrowser","","CloseAndLaunchBrowser","CloseAndLaunchBrowser","CloseAndLaunchBrowser","2019/01/15 21:23:47","2019/01/15 21:23:56","PASS","","",""
"URBAN","","HO_Rating_TC8","Login","Create Dwelling Fire Full Quote","2019/01/15 21:23:56","2019/01/15 21:24:01","PASS","","",""
"URBAN","","HO_Rating_TC8","CreateQuotePolicy","Create Dwelling Fire Full Quote","2019/01/15 21:24:01","2019/01/15 21:24:25","PASS","","",""
"URBAN","","HO_Rating_TC8","ProductInformation","Create Dwelling Fire Full Quote","2019/01/15 21:24:25","2019/01/15 21:26:44","PASS","","",""
"URBAN","","HO_Rating_TC8","PropertyDetails","Create Dwelling Fire Full Quote","2019/01/15 21:26:44","2019/01/15 21:29:03","PASS","","",""
"URBAN","","HO_Rating_TC8","RenovationDetails","Create Dwelling Fire Full Quote","2019/01/15 21:29:03","2019/01/15 21:29:53","PASS","","",""
"URBAN","","HO_Rating_TC8","Next","Create Dwelling Fire Full Quote","2019/01/15 21:29:53","2019/01/15 21:30:05","PASS","","",""
"URBAN","","HO_Rating_TC8","CoverageDetails","Create Dwelling Fire Full Quote","2019/01/15 21:30:05","2019/01/15 21:31:02","PASS","","",""
"URBAN","","HO_Rating_TC8","Next","Create Dwelling Fire Full Quote","2019/01/15 21:31:02","2019/01/15 21:31:14","PASS","","",""
"URBAN","","HO_Rating_TC8","OptionalCoverageDetails","Create Dwelling Fire Full Quote","2019/01/15 21:31:14","2019/01/15 21:31:51","PASS","","",""
"URBAN","","HO_Rating_TC8","OptionalCoverageDetails_1","Create Dwelling Fire Full Quote","2019/01/15 21:31:51","2019/01/15 21:32:11","PASS","","",""
"URBAN","","HO_Rating_TC8","OptionalCoverageDetails_2","Create Dwelling Fire Full Quote","2019/01/15 21:32:11","2019/01/15 21:33:04","PASS","","",""
"URBAN","","HO_Rating_TC8","Next","Create Dwelling Fire Full Quote","2019/01/15 21:33:04","2019/01/15 21:33:16","PASS","","",""
"URBAN","","HO_Rating_TC8","Next","Create Dwelling Fire Full Quote","2019/01/15 21:33:16","2019/01/15 21:33:28","PASS","","",""
"URBAN","","HO_Rating_TC8","UnderwritingQuestions","Create Dwelling Fire Full Quote","2019/01/15 21:33:28","2019/01/15 21:33:42","PASS","","",""
"URBAN","","HO_Rating_TC8","CalculatePremium","Create Dwelling Fire Full Quote","2019/01/15 21:33:42","2019/01/15 21:34:11","PASS","","",""
"URBAN","","HO_Rating_TC8","GetPolicyID","Create Dwelling Fire Full Quote","2019/01/15 21:34:11","2019/01/15 21:34:27","PASS","","",""
"URBAN","","HO_Rating_TC8","PremiumSummaryVerification","Create Dwelling Fire Full Quote","2019/01/15 21:34:49","2019/01/15 21:34:48","FAIL","TestCase: HO_Rating_TC8 Tranasction: PremiumSummaryVerification Error: Unknown...","file:\\D:\Workspace_PAS_V1\iTAFCommon\URBAN_HO\Resources\Results\\ScreenShots\HO_Rating_TC8_PremiumSummaryVerification_null.jpeg",""
"URBAN","","HO_Rating_TC8","Save","Create Dwelling Fire Full Quote","2019/01/15 21:34:49","2019/01/15 21:35:11","PASS","","",""
"URBAN","","HO_Rating_TC8","Approve","Create Dwelling Fire Full Quote","2019/01/15 21:35:11","2019/01/15 21:36:17","PASS","","",""
